Nombre,Dulce,Crujiente,Tipo
Wine - Toasted Head,65,94,Empetraceae
"Wine - White, Pelee Island",8,58,Cactaceae
Container - Foam Dixie 12 Oz,32,94,Cyperaceae
Jameson - Irish Whiskey,29,15,Fabaceae
"Beets - Candy Cane, Organic",53,36,Iridaceae
Cheese - La Sauvagine,78,70,Crassulaceae
Jam - Raspberry,87,100,Rubiaceae
Energy Drink Red Bull,37,24,Pertusariaceae
Milk - Buttermilk,29,3,Poaceae
Flavouring Vanilla Artificial,9,90,Asteraceae
Flour - Chickpea,21,25,Asteraceae
Beef - Tenderloin Tails,82,65,Asteraceae
Beer - Muskoka Cream Ale,59,73,Asteraceae
"Wine - Red, Antinori Santa",67,59,Asteraceae
Coffee - Dark Roast,58,50,Fabaceae
"Rice Pilaf, Dry,package",40,56,Dryopteridaceae
Wine - Rubyport,32,9,Polygonaceae
Sauce - Balsamic Viniagrette,56,6,Asteraceae
Sun - Dried Tomatoes,10,14,Iridaceae
Easy Off Oven Cleaner,8,10,Asteraceae
Stainless Steel Cleaner Vision,45,86,Apiaceae
Flour - Chickpea,49,44,Fabaceae
Beer - Corona,56,71,Fissidentaceae
"Wine - White, French Cross",76,7,Asteraceae
Pastry - Choclate Baked,18,72,Polygonaceae
Milk - Buttermilk,92,79,Physciaceae
"Pasta - Orzo, Dry",3,36,Asteraceae
Oven Mitts 17 Inch,95,66,Euphorbiaceae
Bok Choy - Baby,56,6,Fabaceae
"Wine - Red, Metus Rose",4,79,Fabaceae
Vector Energy Bar,29,3,Euphorbiaceae
Coffee - Cafe Moreno,35,41,Brassicaceae
"Cookies - Oreo, 4 Pack",21,18,Polygonaceae
Tart - Butter Plain Squares,55,14,Parmeliaceae
Basil - Fresh,72,66,Ranunculaceae
"Beef - Kindney, Whole",56,22,Asclepiadaceae
Wine - Acient Coast Caberne,64,14,Ditrichaceae
"Croissant, Raw - Mini",49,10,Asteraceae
Longos - Grilled Salmon With Bbq,77,84,Ebenaceae
Calypso - Strawberry Lemonade,2,47,Asteraceae
Salt - Seasoned,99,45,Fumariaceae
Bread - Calabrese Baguette,68,3,Bignoniaceae
Pastry - Chocolate Marble Tea,8,32,Asteraceae
Melon - Honey Dew,67,86,Asteraceae
Lamb - Shanks,27,68,Nyctaginaceae
Skewers - Bamboo,3,66,Asteraceae
Wine - Acient Coast Caberne,53,7,Asteraceae
Garbage Bags - Black,64,60,Fabaceae
Dragon Fruit,2,82,Cucurbitaceae
Cheese - Swiss Sliced,61,61,Brassicaceae
"Ranchero - Primerba, Paste",32,79,Scrophulariaceae
Muffin Mix - Banana Nut,69,61,Pteridaceae
Foil Wrap,74,44,Poaceae
Wine - Peller Estates Late,51,63,Lycopodiaceae
Flower - Dish Garden,90,17,Malpighiaceae
Wine - Pinot Noir Latour,89,50,Piperaceae
Broom Handle,33,95,Malvaceae
Syrup - Chocolate,36,93,Fabaceae
Beans - Fine,99,66,Onagraceae
Myers Planters Punch,53,88,Scrophulariaceae
Mayonnaise,4,77,Polemoniaceae
"Pasta - Penne Primavera, Single",57,31,Polemoniaceae
Bread - Bistro White,24,28,Scrophulariaceae
Wine - Ruffino Chianti Classico,35,50,Grossulariaceae
Cookies - Englishbay Wht,65,66,Rhizocarpaceae
Foam Tray S2,22,81,Apiaceae
Pie Shells 10,86,73,Scrophulariaceae
